Index,Name,Rating
141,Senpai wa Otokonoko,5.9
142,Atri: My Dear Moments,8.0
143,Trảm Thần,9.5
144,Wistoria: Wand and Sword,8.7
145,The Elusive Samurai,8.1
146,Koi wa Futago de Warikirenai,6.6
147,Synonyms: Why Nobody Remembers My World?,7.6
148,Tensui no Sakuna-hime,5.3
149,Quality Assurance in Another World,6.9
150,Tensei shitara Slime Datta Ken 3rd Season,8.9
151,NieR:Automata Ver1.1a,8.2
152,Hazure Waku no [Joutai Ijou Skill] de Saikyou ni Natta Ore ga Subete wo Juurin Suru made,8.2
153,Katsute Mahou Shoujo to Aku wa Tekitai Shiteita,8.4
154,Isekai Shikkaku,8.4
155,Ookami to Koushinryou: merchant meets the wise wolf,8.3
156,Na Nare Hana Nare,5.2
157,Kinnikuman Perfect Origin Arc,2.9
158,The Fable,7.0
159,"Shinmai Ossan Bouken-sha, Saikyou Party ni Shinu Hodo Kitaerarete Muteki ni Naru",7.8
160,Shy,5.2
161,Midnight Punch,6.1
162,Makeine: Too Many Losing Heroines!,8.8
163,Madougushi Dahliya wa Utsumukanai,7.6
164,Plus-Sized Elf,4.4
165,VTuber Legend: How I Went Viral after Forgetting to Turn Off My Stream,6.7
166,Strike the Blood V,8.4
167, Thiếu Niên Bạch Mã Túy Xuân Phong,NaN
168,Giji Harem,8.9
169,Shikanoko Nokonoko Koshitantan,8.4
170,Tasogare Outfocus,3.2
171,Tokidoki Bosotto Russia-go de Dereru Tonari no Alya-san,9.2
172,Ore wa Subete wo [Parry] Suru: Gyaku Kanchigai no Sekai Saikyou wa Boukensha ni Naritai,8.3
173,Gimai Seikatsu,9.1
174,Isekai Yururi Kikou: Kosodate Shinagara Boukensha Shimasu,7.4
175,Mob kara Hajimaru Tansaku Eiyuutan,7.4
176,Shoshimin: How to Become Ordinary,7.3
177,Thế Giới Hoàn Mỹ OVA Hỏa chi Hôi Tẫn,9.2
178,Toàn Chức Pháp Sư OVA Lời uỷ thác thần bí,9.2
179,Maou Gun Saikyou No Majutsushi Wa Ningen Datta,7.2
180,Nguyên Tôn,9.0
181,Doraemon Movie 43 Nobita Và Bản Giao Hưởng Địa Cầu,9.1
182,Henjin no Salad Bowl,7.8
183,Yêu Thần Ký,8.9
184,Huyễn Sủng Sư,7.8
185,Yuru Camp△ Season 3,7.9
186,Toàn Chức Cao Thủ Phần 3,9.3
187,Kengan Ashura 3nd Season,8.3
188,Kim Ngô Vệ,6.1
189,Suicide Squad ISEKAI,8.2
190,Captain Tsubasa Season 2: Junior Youth-hen,7.2
191,Tru Tiên,8.9
192,Quyến Tư Lượng,9.1
193,Kimi ni Todoke 3nd Season,9.1
194,SPY×FAMILY CODE: White,9.4
195,Thương Nguyên Đồ,9.6
196,Vampire Dormitory,5.8
197,Phản Diện Tái Sinh,7.9
198,"Bye Bye, Earth",5.6
199,"Kimi to Boku no Saigo no Senjou, Aruiwa Sekai ga Hajimaru Seisen Season II",7.4
200,Kaii to Otome to Kamikakushi,7.8
201,"Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou II",8.8
202,Boukyaku Battery (TV),5.7
203,Kimetsu no Yaiba: Hashira Geiko-hen,9.5
204,Mushoku Tensei II: Isekai Ittara Honki Dasu (Ss3),8.7
205,Sentai Daishikkaku,8.1
206,Madogiwa no Totto-chan,8.9
207,"Tadaima, Okaer",5.8
208,Kaijuu 8-gou,9.6
209,Dekisokonai to Yobareta Motoeiyuu wa Jikka kara Tsuihou sareta node Sukikatte ni Ikiru Koto ni Shita,3.7
210,Oi! Tonbo,3.6
211,The New Gate,8.1
212,Tonari no Youkai-san,6.4
213,Wind Breaker,8.3
214,Mahouka Koukou no Rettousei 3rd Season,8.3
215,Hananoi-kun to Koi no Yamai,8.1
216,The Boy and the Heron,9.4
217,Shinigami Bocchan to Kuro Maid 3rd Season,8.5
218,Kenka Dokugaku,8.6
219,Date A Live V,9.3
220,Unnamed Memory,8.3
221,Rinkai,3.7
222,Rising Impact,4.6
223,Lv2 kara Cheat datta Motoyuusha Kouho no Mattari Isekai Life,8.2
224,Shuumatsu Train Doko E Iku,6.8
225,Kami wa Game ni Ueteiru,5.1
226,Tsuki ga Michibiku Isekai Douchuu 2nd Season,9.0
227,Blue Archive The Animation,8.5
228,"Tensei Kizoku, Kantei Skill de Nariagaru",8.4
229,Yoru no Kurage wa Oyogenai,7.5
230,Kuroshitsuji: Kishuku Gakkou-hen,7.6
231,"Maou No Ore Ga Dorei Elf Wo Yome Ni Shitanda Ga, Dou Medereba Ii?",8.7
232,Highspeed Etoile,3.7
233,Astro Note,4.9
234,Bartender: Kami no Glass,6.8
235,Kono Subarashii Sekai ni Shukufuku wo! 3,9.5
236,Re:Monster,8.2
237,"Tensei shitara Dainana Ouji Datta node, Kimama ni Majutsu wo Kiwamemasu",7.1
238,Jiisan Baasan Wakagaeru,9.2
239,"One Room, Hiatari Futsuu, Tenshi-tsuki",8.6
240,Delicious in Dungeon,8.7
