Index,Name,Rating
575,Kantai Collection Itsuka Ano Umi de,4.0
576,Tomo-chan wa Onnanoko!,8.9
577,Bungou Stray Dogs 4th Season,8.5
578,Tondemo Skill De Isekai Hourou Meshi,9.2
579,Yowamushi Pedal: Limit Break,7.0
580,"Eiyuu-ou, bu o Kiwameru tame tensei su - Soshite, Sekai Saikyou no Minarai Kishi ♀~",8.2
581,Mononogatari,8.0
582,Kimi wo Aishita Hitori no Boku e,9.5
583,Otonari no Tenshi-sama ni Itsunomanika Dame Ningen ni Sareteita Ken,9.3
584,Kyokou Suiri Season 2,9.3
585,Kami-tachi ni Hirowareta Otoko 2nd Season,8.2
586,"Benriya Saitou-san, Isekai ni Iku",8.8
587,Boruto: Naruto Next Generations,7.6
588,Tokyo Revengers: Seiya Kessen-hen,4.9
589,Blue Lock,8.6
590,Trigun Stampede,5.9
591,Tsundere Akuyaku Reijou Liselotte To Jikkyou No Endo-Kun To Kaisetsu No Kobayashi-San,8.1
592,Kaiko Sareta Ankoku Heishi (30-dai) no Slow na Second Life,8.6
593,Rougo Ni Sonaete Isekai De 8-Manmai No Kinka Wo Tamemasu,7.9
594,Boku no Hero Academia 6th Season,9.3
595,Tam Thể,8.2
596,Tensei shitara Slime Datta Ken Movie: Guren no Kizuna-hen,9.3
597,Revenger,6.6
598,Nijiyon Animation,5.5
599,Isekai Nonbiri Nouka,9.2
600,Hyouken no Majutsushi ga Sekai wo Suberu,8.0
601,Digimon Ghost Game,4.8
602,Oniichan wa Oshimai!,8.9
603,Ooyukiumi no Kaina,6.8
604,Tensei Oujo to Tensai Reijou no Mahou Kakumei,8.6
605,Koori Zokusei Danshi to Cool na Douryou Joshi,8.7
606,Ningen Fushin no Boukensha-tachi ga Sekai wo Sukuu you desu,7.9
607,Isekai Ojisan,8.9
608,"Ijiranaide, Nagatoro-san 2nd Attack",8.0
609,Ars no Kyojuu,7.3
610,Thế Giới Vô Hạn,8.7
611,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka S4,9.5
612,Vạn Cổ Kiếm Thần 3D,6.4
613,Nguyên Long (Phần 3),5.3
614,Fumetsu no Anata e 2nd Season,9.2
615,Arknights: Reimei Zensou,6.9
616,Do It Yourself!!,5.6
617,Mairimashita! Iruma-kun 3rd Season,9.2
618,UniteUp!,5.0
619,Megaton-kyuu Musashi 2nd Season,3.0
620,Nhất Nhân Chi Hạ Phần 5,6.5
621,Kage no Jitsuryokusha ni Naritakute!,9.3
622,Tsurune: Kazemai Koukou Kyuudou-bu,6.4
623,Phong Tư Vật Ngữ: Tiên La,7.4
624,Sekai no Owari ni Shiba Inu to,4.8
625,Thất Hình Đại Tội: Mối Thù Edinburgh,4.1
626,Itou Junji: Maniac,3.3
627,Tuyệt Đại Song Kiều,7.8
628,Yoru wa Neko to Issho,6.8
629,Trường Dạ Khai Thác Giả,6.8
630,Tinh Vực Bốn Vạn Năm,9.5
631,Vạn Giới Tiên Tung,7.9
632,Mobile Suit Gundam: The Witch from Mercury,7.5
633,Gokushufudou Part 2,7.3
634,Kingdom 4th Season,7.8
635,Renai Flops,8.3
636,Vazzrock The Animation,3.2
637,Chainsaw Man,9.4
638,Dragon Ball Super: Super Hero 2022,9.3
639,Violet Evergarden: Recollections,9.7
640,Muv-Luv Alternative 2nd Season,4.0
641,Koukyuu no Karasu,7.4
642,"Fuufu Ijou, Koibito Miman.",9.0
643,Berserk: Ougon Jidai-hen - Memorial Edition,7.3
644,Spy x Family,9.5
645,Meitantei Conan: Hannin no Hanzawa-san,4.2
646,4-nin wa Sorezore Uso wo Tsuku,5.4
647,Bocchi the Rock!,9.1
648,Utawarerumono: Futari no Hakuoro,6.8
649,Uzaki-chan wa Asobitai! Double (Ss2),8.5
650,"Yuusha Party wo Tsuihou sareta Beast Tamer, Saikyoushu no Nekomimi Shoujo to Deau",8.6
651,Uchi no Shishou wa Shippo ga Nai,4.7
652,Seiken Densetsu: Legend of Mana - The Teardrop Crystal,7.3
653,Hoshi no Samidare,5.7
654,Akiba Maid Sensou,6.6
655,Mushikaburi-hime,7.2
656,One Piece Film: Red,7.4
657,Mob Psycho 100 III,8.2
658,Futoku no Guild,7.2
659,5-toubun no Hanayome Movie,9.1
660,Yama no Susume: Next Summit,5.4
661,Shinobi no Ittoki,7.1
662,Vạn Giới Thần Chủ,7.6
663,Poputepipikku 2nd Season,3.2
664,Shinmai Renkinjutsushi no Tenpo Keiei,7.2
665,Noumin Kanren no Skill bakka Agetetara Nazeka Tsuyoku Natta.,7.6
666,Tensei shitara Ken Deshita,8.8
667,JoJo's Bizarre Adventure Part 6: Stone Ocean,7.3
668,Akuyaku Reijou nanode Last Boss wo Kattemimashita,7.8
669,Nhật Ký Thường Ngày Của Tiên Vương Phần 3,8.9
670,Thần Cấp Long Vệ,6.1
671,Ginga Eiyuu Densetsu: Die Neue These - Sakubou,3.5
672,Hitori no Shita: The Outcast 4nd Season,3.0
673,Hitori no Shita: The Outcast 3nd Season,3.3
674,Karakai Jouzu no Takagi-san OVA,7.8
675,Karakai Jouzu no Takagi-san Movie,9.3
676,Long Tộc,9.0
677,Tonikaku Kawaii: Seifuku,8.5
678,Massara,7.7
679,Detective Conan Movie 25: Halloween no Hanayome,9.7
680,Tinh Võ Thần Quyết,6.8
681,Romantic Killer,7.7
682,Dragon Quest: Dai no Daibouken,8.2
683,Yojouhan Time Machine Blues,3.2
684,Exception,5.2
685,Layton Mystery Tanteisha: Katri no Nazotoki File,4.0
686,Fuuto Tantei,8.5
687,Kakkou no Iinazuke,9.0
688,Tiger & Bunny 2,2.6
689,Love Live! Superstar!! 2nd Season,5.5
690,Saikin Yatotta Maid ga Ayashii,8.5
691,Prima Doll,7.9
692,Phong Tư Vật Ngữ,4.6
693,Summertime Render,9.5
694,Yofukashi no Uta,9.0
695,Made in Abyss: Retsujitsu no Ougonkyou,8.5
696,Promare: Galo-hen,2.4
697,Promare: Lio-hen,2.8
698,Haikyuu!! Movie 3: Sainou to Sense,5.9
699,Haikyuu!! Movie Tập 2 - Shousha to Haisha,6.1
700,Haikyuu!! Movie 1 – Owari to Hajimari,6.7
701,Doraemon Movie 41: Nobita no Little Star Wars,9.7
702,Doraemon Movie 39: Nobita no Getsumen Tansaki,9.5
703,Doraemon Movie 40: Nobita no Shin Kyouryuu,9.7
704,Human Lost: Ningen Shikkaku,6.3
705,Bastard!! Ankoku no Hakaishin ,5.1
706,Tekken: Bloodline,3.1
707,Overlord IV,9.7
708,Orient: Awajishima Gekitou-hen,8.1
709,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e 2nd Season,9.5
710,Arifureta Shokugyou de Sekai Saikyou 2nd Season,9.4
711,Soredemo Ayumu wa Yosetekuru,8.7
712,Cyberpunk: Edgerunners,8.5
713,Luminous Witches,7.1
714,Isekai Yakkyoku,9.3
715,Teppen!!!!!!!!!!!!!!!,6.3
716,Shoot! Goal to the Future,4.5
717,Lycoris Recoil,9.4
718,Love All Play,6.2
719,Kuro no Shoukanshi,8.6
720,Extreme Hearts,5.5
721,Engage Kiss,9.1
722,Ao Ashi,8.7
723,Bucchigire!,6.1
724,Shadows House 2nd Season,8.4
725,Kumichou Musume to Sewagakari,9.1
726,Mamahaha no Tsurego ga Motokano datta,9.1
727,Quân Hữu Vân,9.3
728,Jujutsu Kaisen 0 Movie,9.7
729,Kinsou no Vermeil: Gakeppuchi Majutsushi wa Saikyou no Yakusai to Mahou Sekai wo Tsukisusumu,8.6
730,Isekai Meikyuu de Harem wo,7.7
731,Jashin-chan Dropkick X (Ss3),8.3
732,Warau Arsnotoria Sun!,6.9
733,Tử Xuyên,8.7
734,RWBY: Hyousetsu Teikoku,7.8
735,Yurei Deco,6.9
736,Tòa Nhà Trôi Dạt,9.2
737,"Kanojo, Okarishimasu 2nd Season",6.5
738,Yuukoku no Moriarty OVA,5.9
739,"Tensei Kenja no Isekai Life: Dai-2 no Shokugyou wo Ete, Sekai Saikyou ni Narimashita",8.3
740,Kingdom 3rd Season,6.3
741,Kami Kuzu☆Idol,6.2
742,Doraemon: Nobita và Cuộc Chiến Vũ Trụ Tí Hon,9.8
743,"Yuusha, Yamemasu",9.1
744,Blue Thermal,5.9
745,Kiếm Đạo Đệ Nhất Tiên,6.9
746,Totsukuni no Shoujo,7.5
747,Tây Hành Kỷ Phần 4,9.3
748,Boku no Hero Academia 5th Season,9.5
749,Đấu Phá Thương Khung: Duyên Khởi,9.2
750,Bubble ,8.8
